ID;first_name;last_name;personal_email;birthdate;phone;employee_type;department;maritalstatus;nationality;county;postcode;state;end_contract_date;Identification_number
28;Truman;Humphrey;quicksandsgraniteRosalyns@aerospaceperpetuates.me;22/04/1971;383-849-1107;Employee;Production Line;Widowed;Palau;Lawrence;63103;Idaho;25/01/2024;5228958871
29;Carmelo;Vandien;weedybusiesjoules@rupturedAmericanizations.gov;14/09/1966;352-869-2275;Manager;IT Support;Married;Borneo;Boyd;49490;North Carolina;07/06/2024;2666421156
30;Seth;Fossitt;banishesOleneks@rumble.info;08/10/1961;947-569-8601;Employee;IT Support;Separated;Baker Island;San Juan;18574;Oregon;25/03/2024;3236794315
31;Cristobal;Lopezperez;dethronement@trappedmusicals.net;16/12/1984;774-510-8824;Employee;IT Support;Married;Wake Island;Rhea;86899;South Carolina;12/12/2024;3130344943
32;Joe;Vincil;gravitysshredding@Terrtemplatescompensations.edu;28/08/1985;151-913-1964;Employee;IT Support;Separated;Sudan;Niobrara;91186;Maine;26/01/2024;2452877148
33;Otto;Longardner;unplugEgyptologys@mirroringdisenchanting.edu;28/01/1966;589-757-1454;Employee;IT Support;Married;Namibia;Silver Bow;68021;Kansas;23/08/2024;1396000308
34;Denis;Ruen;DeonsSequoyas@Evapaperbacks.info;26/09/1964;530-828-8456;Employee;IT Support;Divorced;Eritrea;Franklin;45214;Illinois;10/02/2024;2301169427
35;Nicholas;Pesco;Mentholatumflyweights@shuttlecocks.info;03/11/1984;302-931-0390;Employee;IT Support;Married;New Zealand;St. Francois;81520;Kansas;23/01/2024;6535079793
36;Glen;Hin;tarryTelePrompter@rehearsalszombiesreprocesses.org;30/12/1962;606-776-9476;Manager;Sales;Married;Jarvis Island;Bastrop;61308;American Samoa;11/03/2024;6523131771
37;Russel;Balsan;syntheticallyprogressive@fearfulnessstackwheelbarrows.info;23/12/1975;223-909-0925;Employee;Sales;Married;Swaziland;Pitt;56488;Nebraska;25/11/2024;7609521434
38;Nathaniel;Ballock;Stevensorthodonticss@stubbies.org;20/10/1972;931-671-2106;Employee;Sales;Divorced;Sudan;Huron;87089;American Samoa;22/09/2024;1858397953
39;Norberto;Gaffin;Tasmanscoeducational@cohabitedBellasgracelessnesss.me;24/09/1980;629-832-2649;Employee;Sales;Single;Mauritius;Hampden;79438;Georgia;30/09/2024;7793886337
40;Josef;Senkow;berthskeynotes@Remingtonfertilizers.net;04/11/1988;698-760-5439;Employee;Sales;Single;Portugal;Lafayette;34093;New Jersey;01/12/2024;9432351294
41;Bret;Lead;depictionsgracefulness@Arianisms.net;09/02/1965;412-071-6781;Employee;Sales;Widowed;Kyrgyzstan;Haralson;80230;American Samoa;07/02/2024;4689922479
42;Jeffery;Rupe;thwartsArawaks@modernizing.net;01/07/1987;446-505-2230;Employee;Sales;Married;Morocco;Jessamine;24237;Montana;08/02/2024;9519053714
43;Armand;Kukacka;RigolettosMadagascans@Cheshirediscussing.me;30/03/1977;569-821-7135;Manager;Customer Support;Divorced;San Marino;Gregory;52279;Alabama;10/09/2024;1167691780
44;Josiah;Calello;drubsreligions@quichesparking.org;15/05/1974;673-741-9349;Employee;Customer Support;Widowed;Andorra;Red River;38538;Michigan;26/02/2024;5877134264
45;Billy;Lamontagne;distantungratefulcloth@unrecognized.info;20/01/1976;138-823-3409;Employee;Customer Support;Married;Faroe Islands;Colusa;21966;South Carolina;18/06/2024;3304059756
46;Emery;Traficanti;survivalsbop@airlinersocarinas.info;31/03/1981;377-834-8073;Employee;Customer Support;Single;Nicaragua;Ventura;74995;New Hampshire;12/06/2024;6907161328
47;Saul;Frogner;checkerboardssops@WilkersonRonstadt.org;21/02/1977;672-450-4633;Employee;Customer Support;Divorced;Tanzania;Chattooga;26869;West Virginia;11/06/2024;9943233202
48;Dean;Vairo;reevaluateddiscoedtrillionths@bonersGuillermo.me;08/03/1972;256-113-1563;Employee;Customer Support;Single;Venezuela;Weld;20898;Oklahoma;22/11/2024;8699277709
49;Eric;Hartery;banquetsJenningsdivulges@pasteboardsseemingly.net;30/07/1966;104-564-0898;Manager;Sales;Married;Mali;Ogle;12937;Guam;15/11/2024;6523815440
